accuracy,recall,precision,f1,corrcoef,Names,Models
0,0.30662983425414364,0.30662983425414364,0.3188386548892853,0.2811725304287146,0.24818174642144586,EOGHorizontalSignal_with_AE,SVC
1,0.5626666666666666,0.5626666666666666,0.5718623491057934,0.5606473079249847,0.3485048468788414,RefrigerationDevices_without_AE,SVC
2,0.9236172080772608,0.9236172080772608,0.9245684148398479,0.923572669903114,0.8481817894375081,TwoLeadECG_without_AE,CatBoostClassifier
3,0.4553322166387493,0.4553322166387493,0.45006102517617563,0.4404713678601575,0.38101268540765126,UWaveGestureLibraryAll_without_AE,XGBClassifier
4,0.5481481481481482,0.5481481481481482,0.5481317303142761,0.5470540290383632,0.09579384546426195,FordB_without_AE,RandomForestClassifier
5,0.41333333333333333,0.41333333333333333,0.41249034536025597,0.4106880131197344,0.12063703703348222,SmoothSubspace_without_AE,SVC
6,0.7988338192419825,0.7988338192419825,0.8009065977768671,0.7998040638707377,0.4995155016375792,Chinatown_with_AE,KNeighborsClassifier
7,0.7027027027027027,0.7027027027027027,0.6911954939465037,0.6858673345159831,0.3163818093096322,HandOutlines_without_AE,CatBoostClassifier
8,0.632,0.632,0.6309452667176244,0.6309107314972416,0.4484019482992592,LargeKitchenAppliances_without_AE,RandomForestClassifier
9,0.9559252064108791,0.9559252064108791,0.955706239330776,0.9557174985146567,0.9220591251024404,StarLightCurves_without_AE,RandomForestClassifier
10,0.2923076923076923,0.2923076923076923,0.2812959663172511,0.2786097454975754,0.2300384145314175,CricketY_without_AE,CatBoostClassifier
11,0.5215925301517313,0.5215925301517313,0.504833858741022,0.5064026201273989,0.41379290912860334,ElectricDevices_without_AE,CatBoostClassifier
12,0.6452866861030127,0.6452866861030127,0.6471037741169743,0.6440567856367221,0.2922594029257818,ItalyPowerDemand_with_AE,SVC
13,0.7333333333333333,0.7333333333333333,0.7266666666666667,0.7284600389863548,0.6200513869006957,OliveOil_without_AE,RandomForestClassifier
14,0.2857142857142857,0.2857142857142857,0.23269992021929356,0.22845341407845218,0.2369290916297451,FiftyWords_without_AE,RandomForestClassifier
15,0.3886838868388684,0.3886838868388684,0.35967934073733016,0.367806834413882,0.32230439242845565,MelbournePedestrian_without_AE,CatBoostClassifier
16,0.8111111111111111,0.8111111111111111,0.8117268678871846,0.8110177865612649,0.6228376746201807,PowerCons_without_AE,CatBoostClassifier
17,0.6363636363636364,0.6363636363636364,0.6543232039472641,0.636965643423362,0.49547340593574435,Worms_without_AE,XGBClassifier
18,0.18484848484848485,0.18484848484848485,0.1757611025141308,0.17389375188974823,0.10413101577655691,InsectWingbeatSound_without_AE,CatBoostClassifier
19,0.6866666666666666,0.6866666666666666,0.6744240331791632,0.6784953601872665,0.5315258978379277,BME_without_AE,CatBoostClassifier
20,0.47475,0.47475,0.4741652531670169,0.4732610502709731,0.29954839347546597,TwoPatterns_without_AE,CatBoostClassifier
21,0.8,0.8,0.8571428571428571,0.7916666666666666,0.6546536707079772,BirdChicken_without_AE,KNeighborsClassifier
22,0.8153846153846154,0.8153846153846154,0.7653235653235654,0.757408109132247,0.1448338336614266,ToeSegmentation2_without_AE,CatBoostClassifier
23,0.8536585365853658,0.8536585365853658,0.7903164177439372,0.8188248256621301,0.7418519206236652,ProximalPhalanxOutlineAgeGroup_without_AE,SVC
24,0.85,0.85,0.8584625815747097,0.8519599535511408,0.777270354309349,Meat_without_AE,CatBoostClassifier
25,0.6366666666666667,0.6366666666666667,0.6261620428406661,0.6068752751559309,0.4786053979341307,CBF_without_AE,XGBClassifier
26,0.42,0.42,0.43255125876332706,0.4183476443152382,0.30598514344697536,SyntheticControl_without_AE,XGBClassifier
27,0.7594501718213058,0.7594501718213058,0.7514314755396584,0.7370244838822723,0.3966412961986539,ProximalPhalanxOutlineCorrect_with_AE,XGBClassifier
28,0.44667783361250696,0.44667783361250696,0.44754234622391986,0.43840248109302316,0.3701786624610662,UWaveGestureLibraryX_without_AE,XGBClassifier
29,0.3795121951219512,0.3795121951219512,0.3770933612678688,0.36498182720431027,0.3210997589118651,FacesUCR_without_AE,XGBClassifier
30,0.2948717948717949,0.2948717948717949,0.29376442663049357,0.28885635888854405,0.231364481526816,CricketZ_without_AE,RandomForestClassifier
31,0.6883333333333334,0.6883333333333334,0.7235672514619882,0.6953664302600472,0.3796044851581666,SemgHandGenderCh2_without_AE,KNeighborsClassifier
32,0.38274706867671693,0.38274706867671693,0.37893519859977015,0.3763787776289434,0.2957178371960449,UWaveGestureLibraryY_with_AE,SVC
33,0.5827338129496403,0.5827338129496403,0.44943473792394656,0.5006644117525612,0.46432902985528846,DistalPhalanxTW_without_AE,SVC
34,0.6168831168831169,0.6168831168831169,0.5303913773301528,0.5011958490681894,0.28016519481161695,MiddlePhalanxOutlineAgeGroup_without_AE,SVC
35,0.30407523510971785,0.30407523510971785,0.2164581276720711,0.1948321142529142,0.19464772856665516,WordSynonyms_with_AE,SVC
36,0.9,0.9,0.9166666666666667,0.898989898989899,0.816496580927726,BeetleFly_without_AE,XGBClassifier
37,0.28994082840236685,0.28994082840236685,0.3410986766892498,0.2897949268928566,0.2476333252449419,FaceAll_without_AE,RandomForestClassifier
38,0.16191983122362869,0.16191983122362869,0.09671027114304648,0.10446393755238102,0.09387892937955743,Phoneme_with_AE,SVC
39,0.9866666666666667,0.9866666666666667,0.9866820056132272,0.9866665616078724,0.9733486721590309,FreezerRegularTrain_without_AE,XGBClassifier
40,0.622,0.622,0.6209926414262169,0.616496551724138,0.2341959443276499,Yoga_without_AE,CatBoostClassifier
